#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
TA|151A|32.526901|-85.326698|211.0|Opelika, AL, USA|2012-01-19T00:00:00|2013-08-09T23:59:59
TA|152A|32.668598|-84.718803|214.0|Waverly Hall, GA, USA|2012-04-03T00:00:00|2014-02-03T23:59:59
TA|153A|32.649899|-83.831596|160.0|Fort Valley, GA, USA|2012-03-19T00:00:00|2014-01-26T23:59:59
TA|154A|32.613098|-83.106598|111.0|Montrose, GA, USA|2012-03-20T00:00:00|2014-02-10T23:59:59
TA|155A|32.621899|-82.466499|93.0|Kite, GA, USA|2012-03-21T00:00:00|2014-02-07T23:59:59
TA|156A|32.654202|-81.495003|40.0|Sylvania, GA, USA|2012-04-05T00:00:00|2014-02-09T23:59:59
TA|157A|32.678001|-80.9972|21.0|Early Branch, SC, USA|2013-02-25T00:00:00|2015-01-15T23:59:59
TA|158A|32.736401|-80.193497|12.0|Hollywood, SC, USA|2013-02-24T00:00:00|2015-01-28T23:59:59
TA|214A|31.9559|-112.811501|543.0|Organ Pipe National Monument, Ajo, AZ, USA|2007-05-07T00:00:00|2018-09-07T23:59:59
TA|216A|32.002201|-111.457397|908.0|Three Points, Tucson, AZ, USA|2007-03-02T00:00:00|2008-12-09T23:59:59
TA|217A|31.774799|-110.8162|1412.0|Green Valley, AZ, USA|2007-03-03T00:00:00|2008-12-06T23:59:59
TA|218A|31.9737|-110.046402|1486.0|Dragoon, AZ, USA|2007-03-05T00:00:00|2009-01-20T23:59:59
TA|219A|31.998899|-109.259201|1581.0|White Tail Canyon, San Simon, AZ, USA|2007-03-10T00:00:00|2009-01-19T23:59:59
TA|220A|31.9041|-108.526604|1395.0|Playas Peak, Playas, NM, USA|2008-02-15T00:00:00|2009-12-10T23:59:59
TA|221A|32.009399|-107.778198|1277.0|Mesquite Ranch, Deming, NM, USA|2008-02-11T00:00:00|2010-01-18T23:59:59
TA|222A|32.104599|-107.101303|1324.0|Williams Family Ranch, Las Cruces, NM, USA|2008-02-14T00:00:00|2010-01-17T23:59:59
TA|223A|32.006199|-106.427597|1232.0|Chaparral, Anthony, NM, USA|2008-03-28T00:00:00|2010-01-16T23:59:59
TA|224A|32.076|-105.522598|1487.0|Cornudas Mountain, Dell City, TX, USA|2008-02-28T00:00:00|2010-01-16T23:59:59
TA|225A|32.1101|-104.822899|1703.0|Deer Hill, Carlsbad, NM, USA|2008-03-26T00:00:00|2010-02-19T23:59:59
TA|226A|32.061798|-104.101402|929.0|Malaga, Loving, NM, USA|2008-03-22T00:00:00|2009-02-21T23:59:59
TA|226B|32.077801|-104.165398|981.0|Tecolote Peak, Malaga, NM, USA|2009-02-21T00:00:00|2010-02-17T23:59:59
TA|227A|32.012001|-103.292397|879.0|Bennet, Jal, NM, USA|2008-03-21T00:00:00|2010-02-15T23:59:59
TA|228A|32.118|-102.591797|954.0|UT Block 9, Goldsmith, TX, USA|2009-02-10T00:00:00|2010-12-08T23:59:59
TA|229A|31.9671|-101.810699|804.0|Bryant Ranch, Stanton, TX, USA|2009-02-09T00:00:00|2010-12-09T23:59:59
TA|230A|31.8878|-101.112396|742.0|Sterling City, TX, USA|2009-03-03T00:00:00|2011-02-05T23:59:59
TA|231A|31.935301|-100.316299|574.0|Bronte, TX, USA|2009-03-01T00:00:00|2011-02-10T23:59:59
TA|232A|31.888|-99.646896|621.0|Coleman, TX, USA|2009-03-07T00:00:00|2011-02-17T23:59:59
TA|233A|32.017899|-98.899803|539.0|Rising Star, TX, USA|2009-11-18T00:00:00|2011-10-01T23:59:59
TA|234A|32.004002|-98.136803|358.0|Clairette, TX, USA|2009-11-17T00:00:00|2011-10-01T23:59:59
TA|236A|31.999701|-96.530998|118.0|Katherine and Luke Keathley, Corsicana, TX, USA|2010-04-25T00:00:00|2012-01-20T23:59:59
TA|237A|32.001499|-95.808403|126.0|Washetta, Montalba, TX, USA|2010-02-20T00:00:00|2012-01-20T23:59:59
TA|238A|32.003399|-95.1203|126.0|Jacksonville, TX, USA|2010-02-22T00:00:00|2011-12-11T23:59:59
TA|239A|32.017899|-94.470703|100.0|Gary, TX, USA|2010-02-21T00:00:00|2011-12-11T23:59:59
TA|240A|32.0387|-93.762604|119.0|Hunter Patterson, Mansfield, LA, USA|2011-02-11T00:00:00|2012-12-01T23:59:59
TA|241A|32.022701|-92.9188|59.0|Mo Tay, Goldonna, LA, USA|2011-02-10T00:00:00|2012-12-01T23:59:59
TA|242A|32.061699|-92.1521|57.0|Grayson, LA, USA|2011-02-21T00:00:00|2012-11-13T23:59:59
TA|243A|31.880301|-91.482697|2.0|Waterproof, LA, USA|2011-02-19T00:00:00|2012-11-30T23:59:59
TA|244A|32.042198|-90.6856|59.0|Avery, Jackson, MS, USA|2011-03-19T00:00:00|2013-01-22T23:59:59
TA|245A|32.0322|-89.895798|104.0|Little AP, Star, MS, USA|2011-03-20T00:00:00|2013-01-20T23:59:59
TA|246A|32.014301|-89.128601|113.0|Jackson Lee, Bay Springs, MS, USA|2011-03-26T00:00:00|2013-02-08T23:59:59
TA|247A|32.053001|-88.610199|109.0|Quitman, MS, USA|2011-04-09T00:00:00|2013-01-21T23:59:59
TA|248A|32.094002|-87.739304|103.0|Dixon Mills, AL, USA|2011-04-08T00:00:00|2013-01-25T23:59:59
TA|249A|31.975201|-87.122498|66.0|Camden, AL, USA|2012-01-21T00:00:00|2013-08-10T23:59:59
TA|250A|31.9778|-86.2677|152.0|Grady, AL, USA|2012-01-22T00:00:00|2013-12-16T23:59:59
TA|251A|32.092899|-85.408997|139.0|Midway, AL, USA|2012-01-24T00:00:00|2013-08-09T23:59:59
TA|252A|31.996201|-84.735703|142.0|Lumpkin, GA, USA|2012-03-11T00:00:00|2014-02-02T23:59:59
TA|253A|32.061199|-84.129402|136.0|Americus, GA, USA|2012-03-10T00:00:00|2014-01-26T23:59:59
TA|254A|31.9457|-83.290497|78.0|Abbeville, GA, USA|2012-03-14T00:00:00|2014-02-02T23:59:59
TA|255A|31.9263|-82.4758|45.0|Hazlehurst, GA, USA|2012-04-04T00:00:00|2014-02-03T23:59:59
TA|256A|31.9799|-81.887802|46.0|Glennville, GA, USA|2012-03-16T00:00:00|2014-01-22T23:59:59
TA|257A|31.9746|-81.0261|9.0|Skidaway Island, Savannah, GA, USA|2012-03-16T00:00:00|2014-01-21T23:59:59
TA|318A|31.438999|-109.9907|1576.0|Bisbee, AZ, USA|2007-03-07T00:00:00|2009-01-20T23:59:59
TA|319A|31.3757|-109.280899|1187.0|Douglas, AZ, USA|2007-03-06T00:00:00|2010-05-28T23:59:59
TA|320A|31.336901|-108.528397|1414.0|Kipp Ranch, Antelope Well, NM, USA|2008-02-16T00:00:00|2010-01-19T23:59:59
TA|324A|31.442499|-105.482803|1441.0|Moseley Ranch, Sierra Blanca, TX, USA|2008-02-23T00:00:00|2010-01-14T23:59:59
TA|325A|31.371099|-104.971199|1666.0|Bean Ranch, Sierra Blanca, TX, USA|2008-02-25T00:00:00|2010-01-16T23:59:59
TA|326A|31.3165|-103.9786|982.0|Caldwell Ranch, Toyah, TX, USA|2008-03-19T00:00:00|2010-02-14T23:59:59
TA|327A|31.369101|-103.492302|784.0|Balmorhea Ranch, Pecos, TX, USA|2008-03-20T00:00:00|2010-02-13T23:59:59
TA|328A|31.3818|-102.8097|755.0|Wristen Ranch, Grandfalls, TX, USA|2008-04-22T00:00:00|2010-02-13T23:59:59
TA|329A|31.487|-101.980797|842.0|Wagon Wheel Ranch, Midkiff, TX, USA|2009-02-08T00:00:00|2010-12-10T23:59:59
TA|330A|31.4063|-101.175201|742.0|Mertzon, TX, USA|2009-03-04T00:00:00|2011-02-07T23:59:59
TA|331A|31.3085|-100.426598|615.0|San Angelo, TX, USA|2009-03-05T00:00:00|2011-01-22T23:59:59
TA|332A|31.3829|-99.742302|513.0|Millersview, TX, USA|2009-03-06T00:00:00|2011-01-25T23:59:59
TA|333A|31.3249|-98.9841|443.0|Richland Springs, TX, USA|2009-11-13T00:00:00|2011-10-02T23:59:59
TA|334A|31.3325|-98.2379|389.0|Lometa, TX, USA|2009-11-14T00:00:00|2011-10-03T23:59:59
TA|335A|31.2819|-97.427101|217.0|Moody, TX, USA|2009-11-15T00:00:00|2011-10-04T23:59:59
TA|336A|31.386999|-96.844299|140.0|Riesel, TX, USA|2010-02-17T00:00:00|2011-12-18T23:59:59
TA|337A|31.315901|-95.885399|150.0|Centerville, TX, USA|2010-02-16T00:00:00|2011-12-12T23:59:59
TA|338A|31.356701|-95.3106|137.0|Crockett, TX, USA|2010-02-18T00:00:00|2011-12-12T23:59:59
TA|339A|31.333099|-94.556|82.0|Huntington, TX, USA|2010-02-18T00:00:00|2011-12-10T23:59:59
TA|340A|31.4167|-93.889603|57.0|Bronson, TX, USA|2010-02-19T00:00:00|2011-12-10T23:59:59
TA|341A|31.333401|-93.168098|93.0|Kurthwood, LA, USA|2011-03-08T00:00:00|2012-11-15T23:59:59
TA|342A|31.374701|-92.324898|37.0|Flagon Creek Properties, Pineville, LA, USA|2011-02-23T00:00:00|2012-12-02T23:59:59
TA|343A|31.283899|-91.616898|15.0|Vidalia, LA, USA|2011-02-24T00:00:00|2012-11-30T23:59:59
TA|344A|31.4527|-90.731796|78.0|Westbrook Farm, Meadville, MS, USA|2011-03-16T00:00:00|2012-12-14T23:59:59
TA|345A|31.308001|-90.030899|134.0|Thompson Farm, Foxworth, MS, USA|2011-03-17T00:00:00|2012-12-14T23:59:59
TA|346A|31.3876|-89.464897|91.0|Big Creek Wildlife, Hattiesburg, MS, USA|2011-03-18T00:00:00|2013-02-05T23:59:59
TA|347A|31.401699|-88.541199|40.0|Saraland, AL, USA|2011-03-19T00:00:00|2012-12-15T23:59:59
TA|348A|31.412901|-87.902298|57.0|Jackson, AL, USA|2011-03-20T00:00:00|2013-01-25T23:59:59
TA|349A|31.350401|-87.192398|88.0|Repton, AL, USA|2012-01-20T00:00:00|2013-08-10T23:59:59
TA|350A|31.4207|-86.335297|109.0|Dozier, AL, USA|2012-01-21T00:00:00|2013-08-14T23:59:59
TA|351A|31.275299|-85.6036|48.0|Pinckard, AL, USA|2012-02-02T00:00:00|2013-08-15T23:59:59
TA|352A|31.4793|-84.927399|101.0|Blakely, GA, USA|2012-03-07T00:00:00|2014-02-03T23:59:59
TA|353A|31.347401|-84.217201|54.0|Camilla, GA, USA|2012-03-09T00:00:00|2014-01-25T23:59:59
TA|355A|31.3438|-82.851799|69.0|Pearson, GA, USA|2012-03-14T00:00:00|2013-12-09T23:59:59
TA|356A|31.324699|-82.127502|36.0|Blackshear, GA, USA|2012-03-15T00:00:00|2013-12-16T23:59:59
TA|357A|31.423901|-81.485497|7.0|Townsend, GA, USA|2012-03-15T00:00:00|2013-12-14T23:59:59
TA|425A|30.7862|-104.985703|1337.0|Indio Mountain, Van Horn, TX, USA|2008-03-15T00:00:00|2010-02-06T23:59:59
TA|426A|30.6689|-104.029297|1943.0|McDonald Observatory, Fort Davis, TX, USA|2008-03-12T00:00:00|2010-02-09T23:59:59
TA|427A|30.8498|-103.401802|1031.0|Hayter Ranch, Fort Stockton, TX, USA|2008-03-16T00:00:00|2010-02-12T23:59:59
TA|428A|30.726299|-102.6847|982.0|Kincaid Ranch, Fort Stockton, TX, USA|2008-03-10T00:00:00|2010-02-13T23:59:59
TA|429A|30.6248|-101.893799|804.0|Davenport Ranch, Sheffield, TX, USA|2009-02-13T00:00:00|2010-12-11T23:59:59
TA|430A|30.7866|-101.236198|768.0|Baggett Ranch, Ozona, TX, USA|2009-02-14T00:00:00|2010-12-12T23:59:59
TA|431A|30.6824|-100.607903|700.0|Sonora, TX, USA|2009-02-14T00:00:00|2011-01-23T23:59:59
TA|432A|30.8755|-99.793701|647.0|Menard, TX, USA|2009-02-17T00:00:00|2011-01-24T23:59:59
TA|433A|30.7544|-99.091003|447.0|Art, TX, USA|2009-11-10T00:00:00|2011-10-02T23:59:59
TA|434A|30.814199|-98.268997|462.0|Burnet, TX, USA|2009-11-08T00:00:00|2011-10-03T23:59:59
TA|435B|30.7827|-97.584999|248.0|Jarrell, TX, USA|2010-01-15T00:00:00|2019-03-05T23:59:59
TA|436A|30.770201|-96.795998|109.0|Wall Ranch, Gause, TX, USA|2010-01-27T00:00:00|2011-11-08T23:59:59
TA|437A|30.829201|-96.138603|95.0|Phantom Ranch, North Zulch, TX, USA|2010-02-18T00:00:00|2011-12-09T23:59:59
TA|438A|30.75|-95.474098|97.0|Sam Houston State University, Huntsville, TX, USA|2010-02-17T00:00:00|2011-12-13T23:59:59
TA|439A|30.793699|-94.765999|90.0|Center Grove, Livingston, TX, USA|2010-04-12T00:00:00|2011-12-13T23:59:59
TA|440A|30.7456|-93.958702|59.0|Kirbyville, TX, USA|2010-05-22T00:00:00|2011-12-07T23:59:59
TA|441A|30.7498|-93.189796|53.0|DeRidder, LA, USA|2011-02-11T00:00:00|2012-12-06T23:59:59
TA|442A|30.711901|-92.431396|15.0|Mamou, LA, USA|2011-02-12T00:00:00|2012-11-28T23:59:59
TA|443A|30.7642|-91.780899|10.0|Delano Plantation, Melville, LA, USA|2011-02-13T00:00:00|2012-11-28T23:59:59
TA|444A|30.7153|-90.7463|40.0|Pine Grove, LA, USA|2011-03-09T00:00:00|2012-12-08T23:59:59
TA|445A|30.730301|-90.337997|51.0|Amite, LA, USA|2011-03-10T00:00:00|2012-12-08T23:59:59
TA|446A|30.791201|-89.364502|55.0|Poplarville, MS, USA|2011-03-15T00:00:00|2012-12-13T23:59:59
TA|447A|30.7952|-88.654198|34.0|Lucedale, MS, USA|2011-03-18T00:00:00|2012-12-13T23:59:59
TA|448A|30.930901|-87.860802|25.0|Bay Minette, AL, USA|2011-04-07T00:00:00|2013-04-12T23:59:59
TA|449A|30.7596|-87.215103|57.0|Pace, FL, USA|2012-01-18T00:00:00|2013-08-13T23:59:59
TA|450A|30.803801|-86.586304|77.0|Crestview, FL, USA|2012-01-19T00:00:00|2013-08-14T23:59:59
TA|451A|30.615999|-85.746696|20.0|Vernon, FL, USA|2012-02-03T00:00:00|2013-12-16T23:59:59
TA|452A|30.849199|-85.182999|35.0|Marianna, FL, USA|2012-02-04T00:00:00|2013-08-21T23:59:59
TA|453A|30.854099|-84.319702|82.0|Whigham, GA, USA|2012-02-08T00:00:00|2013-12-17T23:59:59
TA|454A|30.7145|-83.630203|50.0|Quitman, GA, USA|2012-02-12T00:00:00|2013-12-12T23:59:59
TA|455A|30.742201|-83.026001|44.0|Stateville, GA, USA|2012-02-11T00:00:00|2013-12-09T23:59:59
TA|456A|30.7248|-82.022301|26.0|Hilliard, FL, USA|2012-02-04T00:00:00|2013-12-19T23:59:59
TA|457A|30.6199|-81.556297|16.0|Yulee, FL, USA|2012-02-03T00:00:00|2013-12-13T23:59:59
TA|526A|30.0609|-104.089798|1405.0|Mary Lane Ranch, Marfa, TX, USA|2008-03-05T00:00:00|2010-02-09T23:59:59
TA|527A|30.145599|-103.6119|1419.0|Woodward Ranch, Alpine, TX, USA|2008-03-06T00:00:00|2010-02-08T23:59:59
TA|528A|30.161501|-102.788002|1183.0|Cox Ranch, Sanderson, TX, USA|2008-03-18T00:00:00|2010-02-11T23:59:59
TA|529A|30.124599|-102.220398|764.0|Stev Forest Ranch, Sanderson, TX, USA|2009-02-12T00:00:00|2010-12-11T23:59:59
TA|530A|30.148899|-101.337898|636.0|J-C Ranch, Comstock, TX, USA|2009-02-24T00:00:00|2011-01-19T23:59:59
TA|531A|30.164499|-100.546402|661.0|Rocksprings, TX, USA|2009-02-15T00:00:00|2011-01-19T23:59:59
TA|532A|30.1278|-99.9049|703.0|Rocksprings, TX, USA|2009-02-18T00:00:00|2011-01-18T23:59:59
TA|533A|30.0718|-99.035103|556.0|Kerrville, TX, USA|2009-11-07T00:00:00|2011-10-05T23:59:59
TA|534A|30.0284|-98.475304|461.0|Blanco, TX, USA|2009-11-06T00:00:00|2011-10-05T23:59:59
TA|535A|30.028999|-97.571098|170.0|Dale, TX, USA|2009-12-16T00:00:00|2011-10-06T23:59:59
TA|536A|30.0756|-97.065201|115.0|Bastrop, TX, USA|2010-01-14T00:00:00|2011-11-08T23:59:59
TA|537A|30.079901|-96.315498|92.0|Green Hill Farm, Brenham, TX, USA|2010-01-31T00:00:00|2011-11-05T23:59:59
TA|538A|30.221901|-95.489998|59.0|Harpers Horsepen, Conroe, TX, USA|2010-01-28T00:00:00|2011-11-10T23:59:59
TA|539A|30.1084|-94.723602|15.0|Cross D Ranch, Liberty, TX, USA|2010-04-13T00:00:00|2011-11-10T23:59:59
TA|540A|30.209299|-93.979599|10.0|Vidor, TX, USA|2010-05-23T00:00:00|2011-12-07T23:59:59
TA|541A|30.059601|-93.1875|0.0|Lake Charles, LA, USA|2011-02-26T00:00:00|2012-12-06T23:59:59
TA|542A|30.124701|-92.5513|-1.0|Morse, LA, USA|2011-02-15T00:00:00|2012-12-07T23:59:59
TA|543A|30.0856|-91.855698|4.0|St. Martinville, LA, USA|2011-02-25T00:00:00|2012-12-07T23:59:59
TA|544A|30.110001|-91.161201|-2.0|White Castle, LA, USA|2011-02-23T00:00:00|2013-02-02T23:59:59
TA|545A|30.0441|-90.489403|3.0|Edgard, LA, USA|2011-03-11T00:00:00|2012-12-09T23:59:59
TA|546A|30.233|-89.719101|0.0|Slidell, LA, USA|2011-03-16T00:00:00|2012-12-12T23:59:59
TA|552A|30.1327|-85.2938|17.0|Lynn Haven, FL, USA|2012-02-06T00:00:00|2013-08-21T23:59:59
TA|553A|30.188999|-84.431702|16.0|Crawfordville, FL, USA|2012-02-07T00:00:00|2013-12-16T23:59:59
TA|554A|30.084101|-83.683601|12.0|Perry, FL, USA|2012-02-13T00:00:00|2013-08-23T23:59:59
TA|555A|30.121201|-82.966599|29.0|McAlpin, FL, USA|2012-02-14T00:00:00|2013-08-22T23:59:59
TA|556A|30.001499|-82.405701|45.0|Lake Butler, FL, USA|2012-02-06T00:00:00|2013-08-23T23:59:59
TA|557A|30.016001|-81.729103|24.0|Orange Park, FL, USA|2012-02-05T00:00:00|2013-12-07T23:59:59
TA|626A|29.554001|-104.133499|979.0|Big Bend Ranch, Presidio, TX, USA|2008-03-09T00:00:00|2010-02-07T23:59:59
TA|627A|29.452801|-103.388702|1163.0|Terlingua Ranch, Terlingua, TX, USA|2008-03-08T00:00:00|2010-02-08T23:59:59
TA|628A|29.4862|-102.888496|655.0|Black Gap, Marathon, TX, USA|2008-03-05T00:00:00|2010-02-10T23:59:59
TA|631A|29.4123|-100.575897|344.0|Perdido Creek Ranch, Del Rio, TX, USA|2009-02-19T00:00:00|2011-01-21T23:59:59
TA|632A|29.507099|-99.786301|420.0|Uvalde, TX, USA|2009-02-24T00:00:00|2011-01-21T23:59:59
TA|633A|29.459101|-99.176598|320.0|Saathoff Ranch, Hondo, TX, USA|2009-12-05T00:00:00|2011-10-13T23:59:59
TA|634A|29.3815|-98.351501|188.0|China Grove, San Antonio TX, USA|2009-12-06T00:00:00|2011-10-08T23:59:59
